,genre,accuracy_score,precision,recall,fscore,roc_auc,classifier
60,action,0.8150880533079486,0.8150880533079486,0.8150880533079486,0.8150880533079486,0.6871149375060459,DecisionTreeClassifier
61,adult,0.9985721085197525,0.9985721085197525,0.9985721085197525,0.9985721085197525,0.7186606291706388,DecisionTreeClassifier
62,animation,0.9754878629224178,0.9754878629224178,0.9754878629224178,0.9754878629224178,0.746433529315695,DecisionTreeClassifier
63,biography,0.9890528319847691,0.9890528319847691,0.9890528319847691,0.9890528319847691,0.6222799933045988,DecisionTreeClassifier
64,black,0.9850071394574013,0.9850071394574013,0.9850071394574013,0.9850071394574013,0.6727247935172198,DecisionTreeClassifier
65,children,0.9878629224178962,0.9878629224178962,0.9878629224178962,0.9878629224178962,0.634411268723341,DecisionTreeClassifier
66,comedy,0.7808186577820085,0.7808186577820085,0.7808186577820085,0.7808186577820085,0.6538293456246381,DecisionTreeClassifier
67,crime,0.9735840076154212,0.9735840076154212,0.9735840076154212,0.9735840076154212,0.6698796082809771,DecisionTreeClassifier
68,documentary,0.99428843407901,0.99428843407901,0.99428843407901,0.99428843407901,0.7098192915270465,DecisionTreeClassifier
69,drama,0.7118039029033794,0.7118039029033794,0.7118039029033794,0.7118039029033794,0.628597827188904,DecisionTreeClassifier
70,fantasy,0.9919086149452642,0.9919086149452642,0.9919086149452642,0.9919086149452642,0.47751049160671466,DecisionTreeClassifier
71,history,0.997144217039505,0.997144217039505,0.997144217039505,0.997144217039505,0.5334808355567124,DecisionTreeClassifier
72,musical,0.9785816277962874,0.9785816277962874,0.9785816277962874,0.9785816277962874,0.661197578901859,DecisionTreeClassifier
73,mystery,0.9869109947643979,0.9869109947643979,0.9869109947643979,0.9869109947643979,0.6496725737043274,DecisionTreeClassifier
74,political,1.0,1.0,1.0,1.0,,DecisionTreeClassifier
75,romance,0.9526415992384579,0.9526415992384579,0.9526415992384579,0.9526415992384579,0.7718281640528398,DecisionTreeClassifier
76,series,0.995954307472632,0.995954307472632,0.995954307472632,0.995954307472632,0.7342047930283225,DecisionTreeClassifier
77,short,0.9980961446930033,0.9980961446930033,0.9980961446930033,0.9980961446930033,0.7329220314735336,DecisionTreeClassifier
78,sports,0.9976201808662541,0.9976201808662541,0.9976201808662541,0.9976201808662541,0.49628809807594065,DecisionTreeClassifier
79,thriller,0.8895763921941933,0.8895763921941933,0.8895763921941933,0.8895763921941934,0.7267484317124029,DecisionTreeClassifier
80,action,0.8119942884340791,0.8119942884340791,0.8119942884340791,0.8119942884340792,0.825005994957194,RandomForestClassifier
81,adult,0.9985721085197525,0.9985721085197525,0.9985721085197525,0.9985721085197525,0.6758420718144265,RandomForestClassifier
82,animation,0.97144217039505,0.97144217039505,0.97144217039505,0.97144217039505,0.8845643475420545,RandomForestClassifier
83,biography,0.9890528319847691,0.9890528319847691,0.9890528319847691,0.9890528319847691,0.729097794702264,RandomForestClassifier
84,black,0.9852451213707758,0.9852451213707758,0.9852451213707758,0.9852451213707758,0.741764064204457,RandomForestClassifier
85,children,0.9878629224178962,0.9878629224178962,0.9878629224178962,0.9878629224178962,0.6731427815645652,RandomForestClassifier
86,comedy,0.7843883864826273,0.7843883864826273,0.7843883864826273,0.7843883864826273,0.7288316227844575,RandomForestClassifier
87,crime,0.9735840076154212,0.9735840076154212,0.9735840076154212,0.9735840076154212,0.8104342426024167,RandomForestClassifier
88,documentary,0.99428843407901,0.99428843407901,0.99428843407901,0.99428843407901,0.7300941439285145,RandomForestClassifier
89,drama,0.7094240837696335,0.7094240837696335,0.7094240837696335,0.7094240837696334,0.6995602232100052,RandomForestClassifier
90,fantasy,0.9923845787720134,0.9923845787720134,0.9923845787720134,0.9923845787720134,0.7175584532374101,RandomForestClassifier
91,history,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.637979653369775,RandomForestClassifier
92,musical,0.9785816277962874,0.9785816277962874,0.9785816277962874,0.9785816277962874,0.7440566904453092,RandomForestClassifier
93,mystery,0.9892908138981438,0.9892908138981438,0.9892908138981438,0.9892908138981438,0.8406008606634059,RandomForestClassifier
94,political,1.0,1.0,1.0,1.0,,RandomForestClassifier
95,romance,0.9526415992384579,0.9526415992384579,0.9526415992384579,0.9526415992384579,0.8315641409646282,RandomForestClassifier
96,series,0.995954307472632,0.995954307472632,0.995954307472632,0.995954307472632,0.8790568557171972,RandomForestClassifier
97,short,0.9980961446930033,0.9980961446930033,0.9980961446930033,0.9980961446930033,0.730358845970434,RandomForestClassifier
98,sports,0.9983341266063779,0.9983341266063779,0.9983341266063779,0.9983341266063779,0.6564788012940576,RandomForestClassifier
99,thriller,0.8917182294145645,0.8917182294145645,0.8917182294145645,0.8917182294145646,0.7994160896482754,RandomForestClassifier
100,action,0.7598762494050452,0.7598762494050452,0.7598762494050452,0.7598762494050452,0.49934379773032955,NueralNetworkClassifier_OneHot
101,adult,0.9985721085197525,0.9985721085197525,0.9985721085197525,0.9985721085197525,0.5822608833809977,NueralNetworkClassifier_OneHot
102,animation,0.9709662065683008,0.9709662065683008,0.9709662065683008,0.9709662065683008,0.5394465539768087,NueralNetworkClassifier_OneHot
103,biography,0.9890528319847691,0.9890528319847691,0.9890528319847691,0.9890528319847691,0.5445374942461396,NueralNetworkClassifier_OneHot
104,black,0.9852451213707758,0.9852451213707758,0.9852451213707758,0.9852451213707758,0.5476624590930341,NueralNetworkClassifier_OneHot
105,children,0.9878629224178962,0.9878629224178962,0.9878629224178962,0.9878629224178962,0.6026093405321656,NueralNetworkClassifier_OneHot
106,comedy,0.7229890528319848,0.7229890528319848,0.7229890528319848,0.7229890528319849,0.4968250364345571,NueralNetworkClassifier_OneHot
107,crime,0.9735840076154212,0.9735840076154212,0.9735840076154212,0.9735840076154212,0.49594363368501726,NueralNetworkClassifier_OneHot
108,documentary,0.99428843407901,0.99428843407901,0.99428843407901,0.99428843407901,0.48838658847933625,NueralNetworkClassifier_OneHot
109,drama,0.6344597810566397,0.6344597810566397,0.6344597810566397,0.6344597810566397,0.4953064741726265,NueralNetworkClassifier_OneHot
110,fantasy,0.9923845787720134,0.9923845787720134,0.9923845787720134,0.9923845787720134,0.5412170263788968,NueralNetworkClassifier_OneHot
111,history,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.6510921671981085,NueralNetworkClassifier_OneHot
112,musical,0.9785816277962874,0.9785816277962874,0.9785816277962874,0.9785816277962874,0.5685554474708171,NueralNetworkClassifier_OneHot
113,mystery,0.9892908138981438,0.9892908138981438,0.9892908138981438,0.9892908138981438,0.589343276401251,NueralNetworkClassifier_OneHot
114,political,1.0,1.0,1.0,1.0,,NueralNetworkClassifier_OneHot
115,romance,0.9521656354117087,0.9521656354117087,0.9521656354117087,0.9521656354117087,0.501930085099492,NueralNetworkClassifier_OneHot
116,series,0.995954307472632,0.995954307472632,0.995954307472632,0.995954307472632,0.40465247030711926,NueralNetworkClassifier_OneHot
117,short,0.9980961446930033,0.9980961446930033,0.9980961446930033,0.9980961446930033,0.42890140677157845,NueralNetworkClassifier_OneHot
118,sports,0.9983341266063779,0.9983341266063779,0.9983341266063779,0.9983341266063779,0.655576366422612,NueralNetworkClassifier_OneHot
119,thriller,0.8781532603522132,0.8781532603522132,0.8781532603522132,0.8781532603522132,0.4788798071424172,NueralNetworkClassifier_OneHot
120,action,0.8117563065207044,0.8117563065207044,0.8117563065207044,0.8117563065207044,0.4985450878228798,NueralNetworkClassifier_TDIF
121,adult,0.9985721085197525,0.9985721085197525,0.9985721085197525,0.9985721085197525,0.4699714013346044,NueralNetworkClassifier_TDIF
122,animation,0.97144217039505,0.97144217039505,0.97144217039505,0.97144217039505,0.4969306304099298,NueralNetworkClassifier_TDIF
123,biography,0.9890528319847691,0.9890528319847691,0.9890528319847691,0.9890528319847691,0.5245009833870361,NueralNetworkClassifier_TDIF
124,black,0.9852451213707758,0.9852451213707758,0.9852451213707758,0.9852451213707758,0.4777310269596385,NueralNetworkClassifier_TDIF
125,children,0.9878629224178962,0.9878629224178962,0.9878629224178962,0.9878629224178962,0.5012045290291496,NueralNetworkClassifier_TDIF
126,comedy,0.7843883864826273,0.7843883864826273,0.7843883864826273,0.7843883864826273,0.505374097173107,NueralNetworkClassifier_TDIF
127,crime,0.9735840076154212,0.9735840076154212,0.9735840076154212,0.9735840076154212,0.5147808527177875,NueralNetworkClassifier_TDIF
128,documentary,0.99428843407901,0.99428843407901,0.99428843407901,0.99428843407901,0.4907451731290889,NueralNetworkClassifier_TDIF
129,drama,0.7094240837696335,0.7094240837696335,0.7094240837696335,0.7094240837696334,0.49580718836002285,NueralNetworkClassifier_TDIF
130,fantasy,0.9923845787720134,0.9923845787720134,0.9923845787720134,0.9923845787720134,0.5011990407673861,NueralNetworkClassifier_TDIF
131,history,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.5011930326890957,NueralNetworkClassifier_TDIF
132,musical,0.9785816277962874,0.9785816277962874,0.9785816277962874,0.9785816277962874,0.4955482598357112,NueralNetworkClassifier_TDIF
133,mystery,0.9892908138981438,0.9892908138981438,0.9892908138981438,0.9892908138981438,0.49910191644615504,NueralNetworkClassifier_TDIF
134,political,1.0,1.0,1.0,1.0,,NueralNetworkClassifier_TDIF
135,romance,0.9526415992384579,0.9526415992384579,0.9526415992384579,0.9526415992384579,0.4945066325883728,NueralNetworkClassifier_TDIF
136,series,0.995954307472632,0.995954307472632,0.995954307472632,0.995954307472632,0.501194743130227,NueralNetworkClassifier_TDIF
137,short,0.9980961446930033,0.9980961446930033,0.9980961446930033,0.9980961446930033,0.5324272770624702,NueralNetworkClassifier_TDIF
138,sports,0.9983341266063779,0.9983341266063779,0.9983341266063779,0.9983341266063779,0.4610420568704239,NueralNetworkClassifier_TDIF
139,thriller,0.8917182294145645,0.8917182294145645,0.8917182294145645,0.8917182294145646,0.5001017663948009,NueralNetworkClassifier_TDIF
140,action,0.7698714897667778,0.7698714897667778,0.7698714897667778,0.7698714897667778,0.5092932028860297,NueralNetworkClassifier_extended
141,adult,0.995954307472632,0.995954307472632,0.995954307472632,0.995954307472632,0.5214688592310137,NueralNetworkClassifier_extended
142,animation,0.9564493098524512,0.9564493098524512,0.9564493098524512,0.9564493098524512,0.4523609750122489,NueralNetworkClassifier_extended
143,biography,0.9781056639695384,0.9781056639695384,0.9781056639695384,0.9781056639695384,0.46372191070008784,NueralNetworkClassifier_extended
144,black,0.9781056639695384,0.9781056639695384,0.9781056639695384,0.9781056639695384,0.5030037400654511,NueralNetworkClassifier_extended
145,children,0.9785816277962874,0.9785816277962874,0.9785816277962874,0.9785816277962874,0.48452298288624046,NueralNetworkClassifier_extended
146,comedy,0.7496430271299381,0.7496430271299381,0.7496430271299381,0.7496430271299381,0.5130317168177629,NueralNetworkClassifier_extended
147,crime,0.9638267491670633,0.9638267491670633,0.9638267491670633,0.9638267491670633,0.463188806014521,NueralNetworkClassifier_extended
148,documentary,0.9847691575440266,0.9847691575440266,0.9847691575440266,0.9847691575440266,0.5420107308121909,NueralNetworkClassifier_extended
149,drama,0.6625416468348405,0.6625416468348405,0.6625416468348405,0.6625416468348405,0.48854470340548833,NueralNetworkClassifier_extended
150,fantasy,0.981675392670157,0.981675392670157,0.981675392670157,0.981675392670157,0.5024505395683454,NueralNetworkClassifier_extended
151,history,0.9933365064255116,0.9933365064255116,0.9933365064255116,0.9933365064255116,0.5227326956031322,NueralNetworkClassifier_extended
152,musical,0.9669205140409329,0.9669205140409329,0.9669205140409329,0.9669205140409329,0.48886592088197145,NueralNetworkClassifier_extended
153,mystery,0.974297953355545,0.974297953355545,0.974297953355545,0.974297953355545,0.5228797476812873,NueralNetworkClassifier_extended
154,political,0.9995240361732508,0.9995240361732508,0.9995240361732508,0.9995240361732508,,NueralNetworkClassifier_extended
155,romance,0.9395525940028557,0.9395525940028557,0.9395525940028557,0.9395525940028557,0.5032852245238182,NueralNetworkClassifier_extended
156,series,0.9916706330318896,0.9916706330318896,0.9916706330318896,0.9916706330318896,0.5103591257291448,NueralNetworkClassifier_extended
157,short,0.9957163255592575,0.9957163255592575,0.9957163255592575,0.9957163255592575,0.47606700047687167,NueralNetworkClassifier_extended
158,sports,0.9969062351261304,0.9969062351261304,0.9969062351261304,0.9969062351261304,0.433134684147795,NueralNetworkClassifier_extended
159,thriller,0.8681580199904807,0.8681580199904807,0.8681580199904807,0.8681580199904807,0.5062933863574376,NueralNetworkClassifier_extended
